WardCode,WardName,Borough,Year,Month,Predicted_Burglaries,Lower_Bound,Upper_Bound,Classification
E05014053,Abbey,E09000002,2019,3,7,1.5252838,11.836606,Medium
E05013792,Abbey Road,E09000033,2019,3,8,3.1408067,13.452129,Medium
E05014072,Abbey Wood,E09000011,2019,3,10,4.598267,14.90959,Medium
E05009388,Abingdon,E09000020,2019,3,5,0.0,9.775374,Low
E05011462,Addiscombe East,E09000008,2019,3,9,4.055795,14.367117,Medium
E05011463,Addiscombe West,E09000008,2019,3,6,0.5794401,10.890762,Medium
E05013733,Addison,E09000013,2019,3,4,0.0,9.023417,Low
E05011234,Aldborough,E09000026,2019,3,8,2.4779677,12.789289,Medium
E05013928,Alexandra,E09000021,2019,3,4,0.0,8.9627495,Low
E05013585,Alexandra Park,E09000014,2019,3,5,0.23916817,10.55049,Medium
E05014054,Alibon,E09000002,2019,3,6,0.71773434,11.029057,Medium
E05013496,Alperton,E09000005,2019,3,6,1.1248584,11.43618,Medium
E05013672,Arnos Grove,E09000010,2019,3,8,2.6604376,12.97176,Medium
E05013697,Arsenal,E09000019,2019,3,9,3.5222602,13.833582,Medium
E05013734,Avonmore,E09000013,2019,3,4,0.0,9.0900135,Low
E05014009,Balham,E09000032,2019,3,15,9.81452,20.125841,Medium
E05014055,Barking Riverside,E09000002,2019,3,3,0.0,8.109593,Low
E05011235,Barkingside,E09000026,2019,3,7,2.123817,12.435139,Medium
E05011217,Barnehurst,E09000004,2019,3,4,0.0,9.178879,Low
E05013774,Barnes,E09000027,2019,3,8,2.8465009,13.157824,Medium
E05013628,Barnet Vale,E09000003,2019,3,13,7.971664,18.282986,Medium
E05013497,Barnhill,E09000005,2019,3,6,0.9656296,11.276952,Medium
E05013698,Barnsbury,E09000019,2019,3,5,0.0,10.068758,Low
E05014010,Battersea Park,E09000032,2019,3,6,0.7575302,11.068852,Medium
E05013793,Bayswater,E09000033,2019,3,20,15.077415,25.388737,High
E05014056,Beam,E09000002,2019,3,6,0.38463497,10.695957,Medium
E05013967,Beam Park,E09000016,2019,3,4,0.0,8.796525,Low
E05013987,Beckenham Town & Copers Cope,E09000006,2019,3,12,6.604176,16.915499,Medium
E05013904,Beckton,E09000025,2019,3,8,2.7138934,13.025215,Medium
E05014057,Becontree,E09000002,2019,3,5,0.0,10.035971,Low
E05013754,Beddington,E09000029,2019,3,9,3.9386077,14.249929,Medium
E05013606,Bedfont,E09000018,2019,3,6,0.5105009,10.821823,Medium
E05013714,Bellingham,E09000023,2019,3,9,3.4619546,13.773277,Medium
E05013542,Belmont,E09000015,2019,3,10,4.7327228,15.0440445,Medium
